User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags
595841,frobinson,Range sell may science successful involve amount pressure.,39,0,8305,True,1,West Donnaview,2021-01-04 17:11:14,cost form foot year
811404,bryan62,Paper black food reach model science ready.,75,1,7313,True,1,Port Jennifer,2020-05-22 02:10:18,able have that especially
635556,wheelerlarry,Lawyer his middle section last site training play.,77,0,7967,False,1,North Jamieshire,2022-06-06 23:18:37,find determine budget sure
295469,urobinson,Although assume remember local book perhaps.,8,2,1256,False,0,Maureenfort,2022-12-16 18:14:41,control health do fact
675134,tracibell,Reality foreign land front PM trip him.,21,2,4846,False,0,Susanville,2020-11-16 23:10:39,course difficult fine
132131,flong,Station activity person against natural majority none few size expect six marriage.,85,1,2353,False,1,Adkinston,2020-05-11 15:29:50,
814899,garciavickie,Medical now even gun under find moment science.,18,0,3782,True,0,Kingfort,2021-04-04 02:37:17,most model
734182,leonard00,Door final sound my guess building rich.,54,0,10,True,0,South Donald,2021-01-21 03:02:53,president
212211,matthewbell,Word whose smile consider certainly magazine seat sign money age data.,43,4,7945,False,0,Charlesburgh,2022-12-02 16:48:04,every author
117640,schmittjill,Add letter year performance western what culture large development fast.,67,3,6523,False,1,West Hannahborough,2022-07-30 05:39:16,available thing
383629,rcruz,Recognize nor choose over trade another involve.,60,2,6779,False,0,Juliehaven,2021-06-13 22:03:42,
631945,owright,Matter local us blue series produce consumer out long.,86,1,5131,True,1,Lake Nancyborough,2021-07-29 10:33:57,tough particularly their
580954,monique95,For two pattern beat president able suffer later field specific table.,43,2,4851,False,0,East Erin,2020-06-15 00:29:43,account position foot
696168,pmason,Just cover eight opportunity strong policy which.,54,5,2242,True,1,Martinezberg,2021-08-14 22:27:05,ever quickly new I
725104,julieflynn,Early source play computer simple fire day way reveal traditional pay.,66,1,2852,False,1,Schultzborough,2021-07-22 11:15:27,former impact above
704441,noah87,Animal sign six data good or.,26,3,8438,False,1,Camachoville,2020-04-13 21:24:21,foreign mention
558415,jessica19,Nice federal education key partner machine whose leader type consumer protect.,34,5,466,False,0,Rodriguezstad,2022-01-04 06:09:53,sell begin
343343,justindudley,Road politics item effect education will open others race personal car treat question.,84,4,5466,False,0,Lake Marvinshire,2020-02-28 22:31:34,
180001,miranda16,Policy arrive again room source thing.,24,5,4096,False,1,Nguyenside,2022-08-12 18:01:20,land discover
194223,jacobscarla,Treatment wrong pattern serious ask order since.,15,2,1785,True,0,South Heather,2020-03-22 00:35:22,sense
463487,hernandezchristian,Part admit the choice across some data edge again future exactly clearly bring.,26,4,653,True,1,Lake Jose,2020-04-20 11:42:06,
460341,oharvey,Though religious game although who source dream.,72,0,8386,False,1,Port Brentshire,2021-11-17 04:13:48,
238448,xzimmerman,International station specific indeed laugh trial spring later store federal sing gun.,85,0,4057,True,1,West Peterview,2022-05-02 16:57:25,sell officer rate board front
233166,bettymorton,Town when may class kitchen those.,34,4,6933,False,0,Tannermouth,2022-06-02 14:01:49,story teacher late
150095,hannahross,Natural draw letter also near true so.,75,4,3544,True,1,Brianmouth,2020-09-09 03:29:52,response learn design energy
758550,hooperdennis,Wonder accept edge enjoy top organization technology happy.,29,1,5986,True,1,Rossmouth,2021-03-12 23:54:15,treat care eat author
344916,dschultz,System wait coach return through blue security future hit fall.,58,1,2063,False,0,Jacobsstad,2021-02-02 02:01:06,
432390,berryemily,Strategy should green improve bar require hope Mr fall.,49,5,7600,False,1,Bakerberg,2021-07-04 03:50:07,
549888,kimberlymorris,Eye rest prove mission show floor.,25,2,836,False,0,Lake Brittanyville,2021-12-19 19:00:16,
688953,craigmiller,Far forget sport nation admit myself series right this minute.,40,2,697,True,0,Port Melanie,2021-10-17 00:06:59,mission owner know budget reason
